participant_uid,condition,item_role,test_boundary_position,mean_rt_incorrect,mean_rt_correct,delta_rt_incorrect_minus_correct
item_only_00039,item_only,lure,pre,2.133924433340629,2.7743717294155537,-0.6404472960749246
item_only_00040,item_only,target,post,1.4777790399966761,1.5545954899920615,-0.0768164499953854
item_only_00040,item_only,target,mid,1.4129617999876953,1.584558845455335,-0.17159704546763965
item_only_00040,item_only,target,pre,1.9194223499992706,1.474696950001609,0.4447253999976617
item_only_00040,item_only,lure,post,1.8449760083361373,1.7205744375096401,0.12440157082649717
item_only_00040,item_only,lure,mid,2.2270126444572167,1.7725650000026112,0.4544476444546055
item_only_00040,item_only,lure,pre,1.735304037501919,1.9372194833413232,-0.20191544583940413
item_only_00041,item_only,target,post,3.70873019999514,1.700959071417206,2.007771128577934
item_only_00041,item_only,target,mid,4.809066200003144,2.7786190124970744,2.03044718750607
item_only_00041,item_only,target,pre,4.24076395713824,3.2373601922926563,1.0034037648455838
item_only_00041,item_only,lure,post,2.3082563750067493,2.2818691562461026,0.026387218760646647
item_only_00041,item_only,lure,mid,2.8031582749899826,2.576798908334846,0.22635936665513645
item_only_00041,item_only,lure,pre,2.0740523499902337,2.728327930008527,-0.6542755800182931
item_only_00042,item_only,target,post,3.6717623230741503,1.6854885571353537,1.9862737659387966
item_only_00042,item_only,target,mid,3.2339087555430726,2.3918554818215356,0.8420532737215369
item_only_00042,item_only,target,pre,2.2313294230664793,1.9718954428681172,0.25943398019836206
item_only_00042,item_only,lure,post,3.1415116899937856,3.088592189998599,0.05291949999518675
item_only_00042,item_only,lure,mid,3.1203002749825828,3.4195009562463383,-0.29920068126375554
item_only_00042,item_only,lure,pre,2.1496933699992953,2.5090861600067003,-0.359392790007405
item_only_00043,item_only,target,post,1.506344522220186,2.167203736361857,-0.6608592141416709
item_only_00043,item_only,target,mid,1.232413271423346,1.6694532333300838,-0.4370399619067378
item_only_00043,item_only,target,pre,2.344600073333519,1.9854834600002504,0.3591166133332686
item_only_00043,item_only,lure,post,1.4268313454548744,2.394699088889562,-0.9678677434346876
item_only_00043,item_only,lure,mid,2.1840970090944953,2.630486211112131,-0.4463892020176359
item_only_00043,item_only,lure,pre,1.4887807000020985,1.7902571599988732,-0.30147645999677475
item_only_00044,item_only,target,post,3.8510191374953138,1.7874246833283298,2.063594454166984
item_only_00044,item_only,target,mid,2.6851479200006,2.727391359995818,-0.04224343999521807
item_only_00044,item_only,target,pre,3.1594212250129203,1.7831026666632777,1.3763185583496427
item_only_00044,item_only,lure,post,2.363803158320176,2.339313675016456,0.02448948330372014
item_only_00044,item_only,lure,mid,3.09746536428325,1.833850733344055,1.263614630939195
item_only_00044,item_only,lure,pre,3.113218385730371,2.6652846500025285,0.44793373572784256
item_only_00045,item_only,target,post,2.8221104000112973,1.6983347555570718,1.1237756444542255
item_only_00045,item_only,target,mid,2.290165199995196,1.7155473785782565,0.5746178214169395
item_only_00045,item_only,target,pre,3.3644153000010797,1.9358726764673038,1.428542623533776
item_only_00045,item_only,lure,post,2.814398037495266,1.756774558336474,1.0576234791587922
item_only_00045,item_only,lure,mid,2.774701875008759,2.0531812499939406,0.7215206250148185
