participant_uid,condition,item_role,mean_rt_incorrect,mean_rt_correct,delta_rt_incorrect_minus_correct
item_only_00022,item_only,lure,4.402021670454732,6.444294606250878,-2.042272935796146
item_only_00023,item_only,target,2.8450282047547044,1.9682832307746418,0.8767449739800626
item_only_00023,item_only,lure,3.122274719227929,3.963207311765633,-0.8409325925377038
item_only_00024,item_only,target,2.3604260857156034,1.45504706410224,0.9053790216133635
item_only_00024,item_only,lure,1.4879868895826196,3.0826905666629805,-1.5947036770803609
item_only_00025,item_only,target,2.2693822176481584,1.5193346465117472,0.7500475711364112
item_only_00025,item_only,lure,1.8770110281261623,1.8629497749997037,0.014061253126458562
item_only_00026,item_only,target,2.7789684500057774,1.7864627477273727,0.9925057022784047
item_only_00026,item_only,lure,2.2673546210464433,1.852383053651443,0.4149715673950003
item_only_00027,item_only,target,1.9087829368424871,1.9385874121948201,-0.029804475352332993
item_only_00027,item_only,lure,2.08697988928647,2.235175971875833,-0.1481960825893629
item_only_00028,item_only,target,3.5459428166698976,2.0086058055547054,1.5373370111151923
item_only_00028,item_only,lure,2.3118127789474734,3.1092355590934115,-0.7974227801459381
item_only_00029,item_only,target,1.6078618666571047,1.8863788541784743,-0.27851698752136955
item_only_00029,item_only,lure,2.0738307333318518,1.495533093336659,0.5782976399951927
item_only_00030,item_only,target,3.9067624375002197,1.7088667750004705,2.197895662499749
item_only_00030,item_only,lure,2.556967627586283,3.2792516290325193,-0.7222840014462362
item_only_00031,item_only,target,2.6645749800023624,2.0534058018185366,0.6111691781838258
item_only_00031,item_only,lure,3.582808916665575,2.3914718214301893,1.1913370952353857
item_only_00032,item_only,target,1.8456682484865077,1.922380485181714,-0.07671223669520622
item_only_00032,item_only,lure,2.0240900999958216,1.9675052852946786,0.05658481470114296
item_only_00033,item_only,target,5.516518395820943,4.236353966659711,1.280164429161232
item_only_00033,item_only,lure,3.909961500013846,6.659728322229865,-2.7497668222160194
item_only_00034,item_only,target,2.1444934142803374,1.585872817396075,0.5586205968842624
item_only_00034,item_only,lure,1.7587876499986606,1.8585223423052901,-0.09973469230662957
item_only_00035,item_only,target,2.6214038960030304,2.05968602856987,0.5617178674331602
item_only_00035,item_only,lure,2.247702839291638,2.2754912093769235,-0.027788370085285674
item_only_00036,item_only,target,4.795982000010554,2.4790467000007173,2.3169353000098365
item_only_00036,item_only,lure,4.505797172228792,4.948975274999005,-0.4431781027702124
item_only_00037,item_only,target,2.81129450000137,1.69482387646841,1.1164706235329598
item_only_00037,item_only,lure,2.082136964709635,3.2533067860437535,-1.1711698213341184
item_only_00038,item_only,target,2.611441495457918,1.765878413151337,0.845563082306581
item_only_00038,item_only,lure,2.0183460928383283,2.3538983521815995,-0.33555225934327115
item_only_00039,item_only,target,2.893266952942427,1.3970007627943888,1.496266190148038
item_only_00039,item_only,lure,2.0333742833342208,2.470219347916403,-0.4368450645821822
item_only_00040,item_only,target,1.5604392279940658,1.532053128570052,0.02838609942401371
item_only_00040,item_only,lure,1.9332847655228949,1.822885300006507,0.1103994655163878
item_only_00041,item_only,target,4.186705511761829,2.5664421790604326,1.6202633327013967
item_only_00041,item_only,lure,2.3817643272658726,2.4924940184221334,-0.11072969115626075
item_only_00042,item_only,target,3.0241534714204525,2.0764839320024477,0.9476695394180048
item_only_00042,item_only,lure,2.7247188208275475,3.0746888555554,-0.3499700347278525
item_only_00043,item_only,target,1.7363128315766134,1.9901535363619174,-0.25384070478530396
item_only_00043,item_only,lure,1.6770789837857984,2.3555631956525915,-0.6784842118667931
item_only_00044,item_only,target,3.1898077730796874,2.0623600529369845,1.127447720142703
item_only_00044,item_only,lure,2.88288026000082,2.2854660850105573,0.5974141749902628
item_only_00045,item_only,target,2.679859809090637,1.7856637632666745,0.8941960458239626
item_only_00045,item_only,lure,2.5249122133284496,2.1276086600005835,0.39730355332786615
item_only_00046,item_only,target,3.902172716674007,1.5203387499980938,2.381833966675913
item_only_00046,item_only,lure,1.748117990908213,2.9753818124954705,-1.2272638215872576
item_only_00047,item_only,target,2.64527612631393,1.633797773171398,1.011478353142532
item_only_00047,item_only,lure,1.880960671425176,1.836620028194888,0.04434064323028819
item_only_00048,item_only,target,3.934447100000019,2.3445674854167087,1.5898796145833103
item_only_00048,item_only,lure,3.182498176470584,3.2402720269230065,-0.05777385045242234
item_only_00049,item_only,target,4.701285949997449,4.017513223326144,0.6837727266713047
item_only_00049,item_only,lure,4.049038426474641,5.45686059230446,-1.4078221658298196
item_only_00050,item_only,target,4.573653146153858,2.7217138829787184,1.8519392631751397
item_only_00050,item_only,lure,3.730514716666671,3.006424013888894,0.7240907027777768
item_only_00051,item_only,target,10.550232458822018,4.112561372087099,6.437671086734919
item_only_00051,item_only,lure,7.534554323081513,5.6905827095366215,1.8439716135448911
item_only_00052,item_only,target,2.2651850580645436,2.4524664586206826,-0.18728140055613895
item_only_00052,item_only,lure,2.5004799857141604,2.6726712279999627,-0.1721912422858023
